Date,Open,High,Low,Close,Volume
2012-01-02,70.17,69.89,69.75,69.75,210.0
2012-01-03,69.75,70.31,69.89,70.31,380.0
2012-01-05,70.31,70.03,69.75,69.75,510.0
2012-01-09,69.75,69.47,69.47,69.47,30.0
2012-01-10,69.47,69.89,69.18,69.89,1440.0
2012-01-12,69.89,70.03,69.89,70.03,300.0
2012-01-16,70.03,70.03,69.61,69.89,1060.0
2012-01-18,69.89,70.03,70.03,70.03,30.0
2012-01-22,70.03,70.03,69.75,69.75,430.0
2012-01-23,69.75,69.61,68.9,69.32,210.0
2012-01-25,69.32,69.61,69.47,69.61,350.0
2012-01-26,69.61,69.89,69.47,69.61,1100.0
2012-01-29,69.61,69.61,69.47,69.47,760.0
2012-01-31,69.47,69.47,69.47,69.47,130.0
2012-02-01,69.47,69.75,69.47,69.47,390.0
2012-02-02,69.47,69.47,69.32,69.47,270.0
2012-02-05,69.47,69.75,69.47,69.47,270.0
2012-02-06,69.47,69.47,69.47,69.47,1390.0
2012-02-07,69.47,69.75,69.75,69.75,140.0
2012-02-08,69.75,70.87,70.03,70.17,1000.0
2012-02-09,70.17,70.31,70.17,70.31,340.0
2012-02-12,70.31,70.87,70.59,70.87,60.0
2012-02-13,70.87,71.15,69.32,69.61,2070.0
2012-02-14,69.61,70.03,69.75,70.03,330.0
2012-02-15,70.03,70.31,70.03,70.03,180.0
2012-02-16,70.03,69.89,69.75,69.75,490.0
2012-02-21,69.75,70.31,69.75,70.31,1430.0
2012-02-23,70.31,70.03,69.89,70.03,450.0
2012-02-26,70.03,70.03,69.75,70.03,360.0
2012-02-27,70.03,70.03,69.75,70.03,280.0
2012-02-28,70.03,70.17,70.17,70.17,1240.0
2012-02-29,70.17,70.17,70.03,70.03,600.0
2012-03-01,70.03,70.03,70.03,70.03,540.0
2012-03-05,70.03,70.31,70.03,70.03,90.0
2012-03-06,70.03,70.03,70.03,70.03,90.0
2012-03-11,70.03,70.03,70.03,70.03,220.0
2012-03-12,70.03,70.17,70.03,70.03,180.0
2012-03-13,70.03,69.89,69.75,69.89,250.0
2012-03-14,69.89,69.89,69.89,69.89,600.0
2012-03-15,69.89,70.17,69.89,70.17,160.0
2012-03-18,70.17,70.31,69.89,70.03,2770.0
2012-03-19,70.03,70.03,70.03,70.03,200.0
2012-03-20,70.03,70.03,69.89,70.03,310.0
2012-03-21,70.03,70.31,70.03,70.31,1510.0
2012-03-25,70.31,70.45,70.31,70.45,1150.0
2012-03-26,70.45,70.17,70.17,70.17,120.0
2012-03-27,70.17,70.17,70.17,70.17,70.0
2012-03-28,70.17,70.59,70.03,70.03,360.0
2012-03-29,70.03,70.59,69.47,70.03,1660.0
2012-04-01,70.03,70.31,70.03,70.03,390.0
2012-04-02,70.03,70.31,70.31,70.31,30.0
2012-04-03,70.31,70.31,70.31,70.31,520.0
2012-04-04,70.31,70.31,70.31,70.31,490.0
2012-04-05,70.31,70.45,70.31,70.31,400.0
2012-04-08,70.31,70.31,70.31,70.31,60.0
2012-04-09,70.31,70.31,70.31,70.31,170.0
2012-04-11,70.31,70.59,70.59,70.59,80.0
2012-04-12,70.59,70.73,70.31,70.31,1300.0
2012-04-18,70.31,70.59,70.59,70.59,30.0
2012-04-19,70.59,70.31,70.31,70.31,80.0
2012-04-22,70.31,71.15,70.59,71.15,260.0
2012-04-24,71.15,71.43,71.43,71.43,60.0
2012-04-25,71.43,71.72,71.72,71.72,30.0
2012-04-26,71.72,73.4,72.56,73.4,260.0
2012-04-29,73.4,73.69,73.4,73.69,690.0
2012-04-30,73.69,74.25,73.4,74.25,320.0
2012-05-02,74.25,74.53,74.53,74.53,60.0
2012-05-07,74.53,74.81,74.81,74.81,2000.0
2012-05-10,74.81,74.53,74.53,74.53,280.0
2012-05-15,74.53,74.25,74.25,74.25,500.0
2012-06-12,74.25,74.25,74.25,74.25,30.0
2012-06-14,74.25,74.25,74.25,74.25,120.0
2012-07-18,74.25,73.54,73.26,73.26,290.0
2012-08-07,73.26,72.98,71.43,71.43,2540.0
2012-08-08,71.43,71.15,70.73,70.87,1360.0
2012-08-12,70.87,71.15,70.31,70.73,2810.0
2012-08-13,70.73,70.73,70.59,70.73,340.0
2012-08-14,70.73,70.87,70.73,70.73,2170.0
2012-08-15,70.73,71.29,70.45,71.15,1300.0
2012-08-16,71.15,71.43,70.73,71.43,1560.0
2012-08-19,71.43,71.29,71.01,71.01,420.0
2012-08-21,71.01,70.87,70.45,70.87,400.0
2012-08-22,70.87,72.28,70.73,72.28,780.0
2012-08-23,72.28,72.56,70.87,71.01,870.0
2012-08-26,71.01,71.43,70.73,71.43,600.0
2012-08-27,71.43,71.58,71.15,71.29,390.0
2012-08-28,71.29,72.84,71.58,72.84,2170.0
2012-08-29,72.84,74.25,72.84,74.25,1940.0
2012-08-30,74.25,74.25,73.97,73.97,650.0
2012-09-02,73.97,73.83,73.26,73.26,2170.0
2012-09-03,73.26,73.83,73.26,73.54,2880.0
2012-09-04,73.54,73.4,73.12,73.4,3100.0
2012-09-05,73.4,73.83,73.26,73.83,1410.0
2012-09-06,73.83,75.23,74.11,74.67,3210.0
2012-09-09,74.67,76.08,74.39,75.65,7770.0
2012-09-10,75.65,75.65,75.09,75.09,820.0
2012-09-11,75.09,76.08,75.37,75.65,11070.0
2012-09-12,75.65,75.23,74.95,74.95,260.0
2012-09-13,74.95,76.22,74.95,74.95,830.0
2012-09-16,74.95,74.67,74.39,74.53,330.0
2012-09-17,74.53,74.53,74.25,74.39,1010.0
2012-09-18,74.39,75.65,73.83,74.53,1090.0
2012-09-19,74.53,74.81,74.25,74.53,3700.0
2012-09-20,74.53,74.53,74.39,74.39,950.0
2012-09-23,74.39,74.67,74.25,74.39,700.0
2012-09-24,74.39,74.39,74.25,74.39,300.0
2012-09-25,74.39,74.25,74.11,74.11,990.0
2012-09-26,74.11,74.95,74.11,74.95,1380.0
2012-09-27,74.95,76.5,75.09,75.65,3260.0
2012-09-30,75.65,75.51,74.95,74.95,360.0
2012-10-01,74.95,75.65,74.81,74.81,1290.0
2012-10-02,74.81,76.78,74.81,76.36,2320.0
2012-10-03,76.36,77.62,75.94,76.36,1700.0
2012-10-04,76.36,78.33,76.36,78.33,2690.0
2012-10-07,78.33,80.58,78.75,79.87,35380.0
2012-10-08,79.87,79.45,79.45,79.45,30.0
2012-10-14,79.45,79.03,77.9,77.9,910.0
2012-10-15,77.9,78.75,77.06,78.33,9030.0
2012-10-17,78.33,79.31,77.34,79.31,2310.0
2012-10-18,79.31,80.16,79.31,79.59,3790.0
2012-10-30,79.59,81.28,80.01,81.28,120.0
2012-10-31,81.28,82.55,81.28,82.55,120.0
2012-11-01,82.55,82.12,81.7,82.12,90.0
2012-11-05,82.12,81.7,79.73,79.73,550.0
2012-11-06,79.73,79.59,78.89,79.03,1060.0
2012-11-07,79.03,79.59,77.76,79.31,1730.0
2012-11-08,79.31,78.89,78.61,78.61,720.0
2012-11-11,78.61,78.19,77.06,77.34,880.0
2012-11-12,77.34,77.48,76.92,77.48,610.0
2012-11-18,77.48,77.48,77.06,77.48,180.0
2012-11-20,77.48,77.9,77.34,77.34,470.0
2012-11-21,77.34,77.76,77.06,77.76,360.0
2012-11-25,77.76,78.19,78.19,78.19,490.0
2012-11-26,78.19,78.05,77.76,78.05,2160.0
2012-11-27,78.05,78.05,76.78,76.78,480.0
2012-11-28,76.78,76.78,75.23,75.23,260.0
2012-11-29,75.23,75.51,75.23,75.51,560.0
2012-12-04,75.51,77.48,75.8,77.48,550.0
2012-12-05,77.48,79.59,77.9,78.47,830.0
2012-12-06,78.47,80.86,77.62,80.86,1630.0
2012-12-20,80.86,81.28,81.28,81.28,20.0
2012-12-23,81.28,80.86,78.61,78.61,810.0
2012-12-24,78.61,78.19,76.5,76.5,2370.0
2012-12-26,76.5,76.92,76.08,76.78,890.0
2012-12-27,76.78,76.64,76.08,76.22,1540.0
2012-12-31,76.22,76.64,75.8,75.94,2520.0
2013-01-01,75.94,76.64,75.65,76.64,430.0
2013-01-02,76.64,77.06,76.36,76.92,2030.0
2013-01-03,76.92,77.06,76.64,77.06,820.0
2013-01-06,77.06,76.92,76.36,76.64,1360.0
2013-01-07,76.64,76.78,76.22,76.78,900.0
2013-01-08,76.78,77.06,76.78,77.06,310.0
2013-01-09,77.06,79.31,77.2,77.76,4220.0
2013-01-10,77.76,78.47,77.48,77.9,2290.0
2013-01-13,77.9,78.33,77.76,77.9,1030.0
2013-01-15,77.9,78.33,77.76,77.9,1130.0
2013-01-16,77.9,78.33,77.9,78.33,480.0
2013-01-17,78.33,78.47,78.47,78.47,30.0
2013-01-20,78.47,78.05,77.48,77.48,2070.0
2013-01-21,77.48,78.05,77.62,78.05,3630.0
2013-01-22,78.05,77.9,77.62,77.76,1100.0
2013-01-23,77.76,78.19,77.06,78.19,860.0
2013-01-24,78.19,78.05,77.62,77.76,1520.0
2013-01-27,77.76,77.76,77.62,77.62,1460.0
2013-01-28,77.62,77.62,76.78,77.62,560.0
2013-01-30,77.62,77.2,76.78,76.78,120.0
2013-01-31,76.78,77.48,77.06,77.48,1230.0
2013-02-03,77.48,77.9,77.48,77.9,800.0
2013-02-04,77.9,77.9,77.76,77.76,510.0
2013-02-05,77.76,77.62,77.34,77.62,210.0
2013-02-06,77.62,77.62,77.2,77.2,190.0
2013-02-07,77.2,77.06,76.78,76.92,370.0
2013-02-10,76.92,77.34,76.78,77.06,420.0
2013-02-12,77.06,77.48,77.06,77.48,150.0
2013-02-13,77.48,77.48,77.06,77.48,130.0
2013-02-14,77.48,77.06,76.92,76.92,80.0
2013-02-17,76.92,76.92,76.92,76.92,150.0
2013-02-19,76.92,79.03,77.34,78.61,320.0
2013-02-20,78.61,79.03,78.61,78.61,70.0
2013-02-21,78.61,78.47,78.05,78.05,70.0
2013-02-24,78.05,77.62,77.2,77.34,1520.0
2013-02-25,77.34,77.48,77.06,77.48,320.0
2013-02-26,77.48,78.47,77.76,77.9,670.0
2013-02-27,77.9,77.76,77.06,77.06,730.0
2013-02-28,77.06,77.9,77.48,77.9,80.0
2013-03-03,77.9,79.45,78.33,79.45,2430.0
2013-03-04,79.45,79.87,78.75,79.17,1470.0
2013-03-05,79.17,79.03,78.19,78.19,1710.0
2013-03-06,78.19,78.19,77.9,78.05,1080.0
2013-03-07,78.05,78.75,78.05,78.33,1490.0
2013-03-11,78.33,79.87,77.9,79.87,300.0
2013-03-13,79.87,80.3,79.03,79.03,510.0
2013-03-14,79.03,80.58,79.45,79.73,250.0
2013-03-17,79.73,79.87,79.31,79.73,640.0
2013-03-18,79.73,79.59,78.75,79.17,850.0
2013-03-19,79.17,81.0,79.31,81.0,850.0
2013-03-20,81.0,82.55,81.42,82.55,140.0
2013-03-21,82.55,82.69,79.87,82.27,4200.0
2013-03-28,86.21,81.71,79.46,79.46,1090.0
2013-03-31,79.46,78.98,78.5,78.82,300.0
2013-04-01,78.82,78.82,78.34,78.82,500.0
2013-04-04,78.82,79.3,79.3,79.3,90.0
2013-04-07,79.3,80.59,78.98,80.59,2390.0
2013-04-08,80.59,81.55,81.07,81.39,5920.0
2013-04-09,81.39,81.55,81.07,81.07,1770.0
2013-04-11,81.07,82.84,81.55,82.84,1400.0
2013-04-15,82.84,83.32,82.84,83.0,1270.0
2013-04-16,83.0,83.16,82.68,83.16,690.0
2013-04-17,83.16,85.09,83.16,85.09,760.0
2013-04-18,85.09,85.89,84.61,85.89,230.0
2013-04-21,85.89,86.37,85.25,85.41,1240.0
2013-04-23,85.41,85.89,85.89,85.89,60.0
2013-04-25,85.89,85.41,84.93,84.93,120.0
2013-05-02,84.93,84.45,83.16,83.16,140.0
2013-05-05,83.16,82.68,80.75,81.07,880.0
2013-05-06,81.07,81.07,81.07,81.07,60.0
2013-05-07,81.07,80.75,79.95,79.95,1020.0
2013-05-08,79.95,79.63,78.98,79.46,720.0
2013-05-09,79.46,79.95,79.79,79.95,450.0
2013-05-12,79.95,80.11,79.79,80.11,120.0
2013-05-13,80.11,80.27,80.27,80.27,230.0
2013-05-14,80.27,81.23,79.79,81.23,180.0
2013-05-15,81.23,81.71,80.91,81.71,9030.0
2013-05-16,81.71,82.2,81.88,82.2,1090.0
2013-05-19,82.2,82.04,81.71,81.71,1320.0
2013-05-20,81.71,81.71,81.23,81.23,320.0
2013-05-21,81.23,81.88,81.55,81.55,36030.0
2013-05-22,81.55,81.55,81.55,81.55,30.0
2013-05-23,81.55,81.07,81.07,81.07,330.0
2013-05-26,81.07,80.43,80.27,80.27,420.0
2013-05-27,80.27,82.2,80.75,81.23,24330.0
2013-05-28,81.23,81.71,81.39,81.71,1322.0
2013-05-30,81.71,81.88,81.39,81.88,270.0
2013-06-03,81.88,81.71,80.27,80.75,284.0
2013-06-04,80.75,82.04,80.43,81.55,840.0
2013-06-09,81.55,81.88,81.07,81.88,238.0
2013-06-10,81.88,81.55,81.07,81.23,1172.0
2013-06-11,81.23,81.71,81.07,81.23,848.0
2013-06-13,81.23,80.75,79.79,79.79,136.0
2013-06-16,79.79,81.23,80.27,81.23,170.0
2013-06-17,81.23,80.75,79.79,80.75,716.0
2013-06-18,80.75,81.23,80.27,80.75,209.0
2013-06-19,80.75,81.23,80.43,80.43,976.0
2013-06-20,80.43,81.07,80.27,80.91,935.0
2013-06-24,80.91,80.59,80.43,80.59,319.0
2013-06-25,80.59,80.27,80.27,80.27,30.0
2013-06-26,80.27,81.55,80.59,81.07,20591.0
2013-06-27,81.07,81.39,81.23,81.39,3518.0
2013-06-30,81.39,80.91,80.27,80.43,2224.0
2013-07-01,80.43,81.39,80.27,80.27,4649.0
2013-07-02,80.27,80.75,80.27,80.59,708.0
2013-07-03,80.59,81.07,80.27,80.43,428.0
2013-07-04,80.43,81.39,80.59,80.59,752.0
2013-07-07,80.59,81.88,80.43,81.88,866.0
2013-07-08,81.88,81.88,81.55,81.88,4238.0
2013-07-09,81.88,82.2,81.88,81.88,2185.0
2013-07-10,81.88,81.39,80.91,80.91,297.0
2013-07-11,80.91,80.91,80.75,80.75,158.0
2013-07-14,80.75,81.39,81.23,81.39,630.0
2013-07-15,81.39,82.36,80.91,81.23,5990.0
2013-07-16,81.23,81.88,81.23,81.88,481.0
2013-07-17,81.88,82.2,81.39,82.2,379.0
2013-07-18,82.2,82.2,81.88,82.2,220.0
2013-07-21,82.2,83.64,81.39,83.64,5000.0
2013-07-22,83.64,85.09,84.12,85.09,30000.0
2013-07-23,85.09,84.61,82.84,82.84,1352.0
2013-07-24,82.84,83.64,82.36,83.16,536.0
2013-07-25,83.16,84.12,82.84,83.48,2000.0
2013-07-28,83.48,86.37,83.64,86.37,2667.0
2013-07-29,86.37,88.95,86.7,87.82,11282.0
2013-07-30,87.82,87.82,86.7,87.18,2113.0
2013-07-31,87.18,87.18,86.37,86.37,601.0
2013-08-01,86.37,86.37,85.57,86.37,567.0
2013-08-04,86.37,85.89,84.61,84.61,1024.0
2013-08-05,84.61,84.29,83.8,84.29,272.0
2013-08-06,84.29,84.45,83.48,84.45,1136.0
2013-08-07,84.45,85.41,84.29,85.41,787.0
2013-08-08,85.41,85.73,84.93,85.25,572.0
2013-08-11,85.25,85.57,84.93,85.09,861.0
2013-08-12,85.09,86.7,85.09,86.7,875.0
2013-08-13,86.7,89.75,87.34,89.43,5224.0
2013-08-14,89.43,91.52,89.43,90.71,7112.0
2013-08-15,90.71,90.07,88.79,88.95,922.0
2013-08-18,88.95,92.32,89.11,92.0,9558.0
2013-08-19,92.0,92.48,89.27,91.52,13797.0
2013-08-20,96.11,94.74,92.39,94.74,6276.0
2013-08-25,94.74,93.96,93.56,93.96,1771.0
2013-08-26,93.96,93.17,91.21,91.8,501.0
2013-08-27,91.8,93.56,91.21,92.78,408.0
2013-08-29,92.78,93.76,92.78,93.76,3268.0
2013-09-01,93.76,93.76,92.19,93.76,409.0
2013-09-02,93.76,93.37,92.98,93.37,234.0
2013-09-03,93.37,93.37,92.78,93.17,597.0
2013-09-04,93.17,93.17,92.39,93.17,444.0
2013-09-05,93.17,93.17,92.39,93.17,576.0
2013-09-08,93.17,92.39,92.39,92.39,80.0
2013-09-09,92.39,93.17,92.98,93.17,478.0
2013-09-10,93.17,92.78,91.21,91.21,1842.0
2013-09-11,91.21,92.58,91.41,92.58,791.0
2013-09-12,92.58,92.98,92.58,92.98,1788.0
2013-09-15,92.98,93.37,92.19,93.37,693.0
2013-09-16,93.37,93.37,93.37,93.37,289.0
2013-09-17,93.37,94.54,92.58,94.54,868.0
2013-09-19,94.54,96.11,95.33,96.11,662.0
2013-09-22,96.11,100.62,96.11,100.62,2794.0
