Date,Open,High,Low,Close,Volume,Change
2017-06-19,72.76,72.76,72.76,72.76,10.0,
2017-07-26,72.76,72.76,72.76,73.45,9.0,0.6899999999999977
2017-07-27,72.76,72.76,72.76,73.45,1.0,0.0
2017-08-15,73.45,73.45,73.45,73.45,10.0,0.0
2017-08-20,74.14,74.14,74.14,74.14,1000.0,0.6899999999999977
2017-08-28,74.83,74.83,74.83,74.83,10.0,0.6899999999999977
2017-09-10,76.63,76.63,76.63,76.63,10.0,1.7999999999999972
2017-09-20,77.32,77.32,77.32,77.32,10.0,0.6899999999999977
2017-11-05,78.09,81.18,78.09,81.18,130.0,3.8600000000000136
2017-11-09,82.04,85.48,82.04,85.48,130.0,4.299999999999997
2017-11-13,82.04,85.48,82.04,86.42,10.0,0.9399999999999976
2017-11-15,86.42,87.37,86.42,87.37,60.0,0.9500000000000028
2017-11-27,88.35,88.35,88.35,88.35,10.0,0.9799999999999898
2017-12-18,90.82,90.82,90.82,90.82,10.0,2.469999999999999
2017-12-19,93.4,93.4,93.4,93.4,10.0,2.5800000000000125
2018-01-01,96.08,96.08,96.08,96.08,10.0,2.6799999999999926
2018-02-04,98.97,98.97,98.97,98.97,10.0,2.890000000000001
2018-03-18,98.97,98.97,98.97,100.1,20.0,1.1299999999999957
2018-03-29,98.97,98.97,98.97,89.13,201.0,-10.97
2018-04-03,101.96,101.96,101.96,101.96,10.0,12.829999999999998
2018-05-02,101.96,105.67,103.19,105.67,30.0,3.710000000000008
2018-05-03,107.01,109.69,107.01,109.69,30.0,4.019999999999996
2018-05-06,111.03,112.47,111.03,112.47,20.0,2.780000000000001
2018-05-07,113.91,115.36,113.91,115.36,20.0,2.890000000000001
2018-05-08,116.8,119.89,116.8,119.89,30.0,4.530000000000001
2018-05-09,119.89,123.09,121.44,123.09,20.0,3.200000000000003
2018-05-10,123.09,128.14,124.74,128.14,30.0,5.049999999999983
2018-05-14,129.89,129.89,129.89,129.89,10.0,1.75
2018-05-16,131.65,131.65,131.65,131.65,10.0,1.760000000000019
2018-05-17,136.29,136.29,136.29,136.29,10.0,4.639999999999986
2018-05-20,138.24,140.2,138.24,140.2,34.0,3.9099999999999966
2018-05-21,142.16,142.16,142.16,142.16,10.0,1.960000000000008
2018-05-23,144.22,144.22,144.22,144.22,79.0,2.0600000000000023
2018-05-27,146.29,146.29,146.29,146.29,12.0,2.069999999999993
2018-05-28,146.29,152.68,148.35,152.68,32.0,6.390000000000015
2018-05-29,158.35,160.72,158.35,160.72,24.0,8.039999999999992
2018-06-04,163.09,163.09,163.09,163.09,14.0,2.3700000000000045
2018-06-06,165.56,168.04,165.56,168.04,24.0,4.949999999999989
2018-06-07,165.56,168.04,165.56,168.04,24.0,0.0
2018-06-10,170.62,175.87,170.62,178.55,46.0,10.51000000000002
2018-06-11,178.55,184.12,178.55,186.08,44.0,7.530000000000001
2018-06-12,187.01,187.01,187.01,187.01,316.0,0.9299999999999784
2018-06-13,189.89,192.88,189.89,195.98,24.0,8.969999999999999
2018-06-14,195.98,205.46,195.98,205.46,46.0,9.480000000000018
2018-06-17,208.76,222.16,208.76,222.16,96.0,16.69999999999999
2018-06-18,225.77,240.51,225.77,240.51,66.0,18.34999999999999
2018-06-19,244.53,260.72,244.53,260.72,740.0,20.210000000000036
2018-06-20,265.15,282.88,262.47,266.59,4813.0,5.869999999999948
2018-06-21,267.93,267.93,257.52,261.85,1730.0,-4.739999999999952
2018-06-24,258.66,259.89,256.18,257.21,2329.0,-4.640000000000043
2018-06-25,253.19,258.35,249.58,250.72,4261.0,-6.489999999999981
2018-06-26,249.64,250.56,243.76,243.76,370.0,-6.960000000000008
2018-06-27,239.58,245.61,239.58,244.53,65.0,0.7700000000000102
2018-06-28,244.53,248.71,244.53,246.39,84.0,1.8599999999999852
2018-07-01,246.39,246.39,238.04,238.04,430.0,-8.349999999999994
2018-07-02,235.72,235.72,234.64,234.94,466.0,-3.0999999999999943
2018-07-03,234.02,241.75,230.0,237.57,95.0,2.6299999999999955
2018-07-04,237.11,244.22,237.11,238.04,306.0,0.4699999999999988
2018-07-05,238.66,252.26,238.66,252.11,795.0,14.070000000000022
2018-07-08,254.89,254.89,240.05,244.07,508.0,-8.04000000000002
2018-07-09,242.52,242.52,238.19,238.19,352.0,-5.8799999999999955
2018-07-10,241.75,245.92,241.75,245.92,98.0,7.72999999999999
2018-07-11,245.92,261.23,245.92,254.12,1164.0,8.200000000000017
2018-07-12,258.45,262.32,257.83,257.83,82.0,3.709999999999979
2018-07-15,259.38,259.38,254.89,254.89,22.0,-2.9399999999999977
2018-07-16,254.89,254.89,246.39,246.39,44.0,-8.5
2018-07-17,243.3,247.47,240.36,247.01,470.0,0.6200000000000045
