Date,Open,High,Low,Close,Volume
2012-01-01,53.92,54.63,53.68,54.63,883.0
2012-01-02,54.63,57.48,54.63,56.29,2136.0
2012-01-03,56.29,57.24,55.82,55.82,436.0
2012-01-04,55.82,56.05,54.4,55.11,779.0
2012-01-05,55.11,55.34,54.87,55.34,670.0
2012-01-08,55.34,55.11,54.16,54.87,1360.0
2012-01-09,54.87,55.58,54.87,54.87,351.0
2012-01-10,54.87,55.34,54.63,54.63,309.0
2012-01-11,54.63,55.11,53.92,54.16,1863.0
2012-01-12,54.16,54.63,53.68,54.63,370.0
2012-01-16,54.63,54.87,53.92,53.92,1961.0
2012-01-17,53.92,54.4,53.68,54.4,1289.0
2012-01-18,54.4,54.87,53.92,54.4,516.0
2012-01-22,54.63,55.34,54.16,54.4,600.0
2012-01-23,54.4,54.63,54.16,54.63,161.0
2012-01-25,54.63,54.63,53.68,54.16,367.0
2012-01-26,54.16,54.87,53.68,54.16,735.0
2012-01-29,54.16,54.87,53.45,53.68,835.0
2012-01-31,53.68,54.16,53.45,53.68,1382.0
2012-02-01,53.68,54.16,53.21,54.16,261.0
2012-02-02,54.16,54.63,54.63,54.63,80.0
2012-02-05,54.63,54.63,53.21,53.68,977.0
2012-02-06,53.68,54.63,53.45,53.68,1162.0
2012-02-07,53.68,54.63,53.45,53.45,1004.0
2012-02-08,53.45,54.16,53.45,53.45,490.0
2012-02-09,53.45,53.68,53.68,53.68,386.0
2012-02-12,53.68,54.16,53.45,53.92,260.0
2012-02-13,53.92,53.68,53.45,53.68,322.0
2012-02-14,53.68,53.92,53.21,53.45,1129.0
2012-02-15,53.45,53.68,53.21,53.21,548.0
2012-02-16,53.21,53.68,52.74,52.74,952.0
2012-02-21,52.74,52.97,52.5,52.97,447.0
2012-02-23,52.97,52.97,52.03,52.5,1804.0
2012-02-26,52.5,53.45,52.5,52.74,1708.0
2012-02-27,52.74,52.97,52.5,52.97,2873.0
2012-02-28,52.97,53.68,52.5,53.68,4982.0
2012-02-29,53.68,53.68,52.97,52.97,1203.0
2012-03-01,52.97,54.16,53.45,53.68,1288.0
2012-03-04,53.68,53.68,52.74,53.45,1927.0
2012-03-05,53.45,53.68,53.21,53.68,1338.0
2012-03-06,53.68,53.92,53.45,53.68,1677.0
2012-03-11,53.68,53.68,53.21,53.45,1225.0
2012-03-12,53.45,53.68,53.21,53.21,848.0
2012-03-13,53.21,54.16,52.74,53.45,778.0
2012-03-14,53.45,53.68,52.03,53.68,1028.0
2012-03-15,53.68,53.21,51.79,53.21,257.0
2012-03-18,53.21,53.21,52.5,52.5,830.0
2012-03-19,52.5,52.97,52.03,52.03,1816.0
2012-03-20,52.03,52.5,52.03,52.03,419.0
2012-03-21,52.03,52.5,52.26,52.5,561.0
2012-03-25,52.5,52.74,52.03,52.26,1311.0
