Date,Open,High,Low,Close,Volume
2020/10/29,110.0,116.0,110.0,116.0,769150.0
2020/11/01,119.0,122.5,119.0,122.5,1605340.0
2020/11/02,126.0,129.5,126.0,129.5,283550.0
2020/11/03,133.0,137.0,129.0,137.0,346608.0
2020/11/04,137.5,141.0,129.0,132.5,211485.0
2020/11/05,135.0,135.0,124.5,126.0,279319.0
2020/11/08,129.5,131.0,124.0,130.5,261927.0
2020/11/09,134.5,135.0,130.0,131.0,237260.0
2020/11/10,130.0,132.0,129.0,129.5,148395.0
2020/11/11,126.0,130.5,126.0,128.5,57656.0
2020/11/12,130.0,130.5,127.0,129.0,104720.0
2020/11/18,130.5,130.5,125.0,126.5,29940.0
2020/11/19,128.0,132.5,125.0,130.0,143829.0
2020/11/22,134.0,134.0,127.5,127.5,55770.0
2020/11/23,129.0,130.0,126.0,128.0,50638.0
2020/11/24,124.5,130.0,124.5,127.5,54759.0
2020/11/25,127.5,135.0,127.0,135.0,328688.0
2020/11/26,135.5,141.0,131.5,132.5,176095.0
2020/11/29,133.5,135.0,130.0,132.0,72630.0
2020/11/30,132.0,135.5,129.5,134.5,85580.0
2020/12/01,133.5,135.5,130.0,131.5,69010.0
2020/12/02,130.5,135.0,129.0,130.5,52005.0
2020/12/03,132.0,132.5,129.5,129.5,71987.0
2020/12/06,128.0,135.5,126.0,126.0,49295.0
2020/12/07,127.5,129.0,126.0,128.5,31125.0
2020/12/08,130.0,131.5,128.0,129.5,47902.0
2020/12/09,133.0,134.0,129.5,131.0,104746.0
2020/12/10,130.0,132.5,128.5,131.0,36137.0
2020/12/13,132.5,132.5,128.0,130.0,62850.0
2020/12/14,131.0,133.0,128.5,128.5,34291.0
2020/12/15,130.0,130.0,127.5,129.0,36110.0
2020/12/16,127.5,129.5,126.5,127.5,12840.0
2020/12/17,126.5,127.5,124.0,126.5,69225.0
2020/12/20,125.0,127.5,120.0,121.0,20990.0
2020/12/21,120.0,124.0,114.5,119.5,23675.0
2020/12/22,122.5,126.0,121.5,123.5,22635.0
2020/12/23,123.5,124.5,120.0,120.0,20196.0
2020/12/24,121.0,123.5,120.5,120.5,10750.0
2020/12/27,120.5,122.5,120.5,121.0,10252.0
2020/12/28,121.5,123.0,120.5,120.5,5155.0
2020/12/29,120.5,123.5,120.5,121.5,23640.0
2020/12/30,122.5,125.0,120.5,123.0,34885.0
2020/12/31,124.0,127.0,123.0,126.0,62785.0
2021/01/03,126.0,127.5,123.5,123.5,28170.0
2021/01/04,124.5,126.5,123.5,123.5,36896.0
2021/01/05,123.0,130.5,123.0,128.0,53023.0
2021/01/06,131.5,131.5,126.0,127.0,13107.0
2021/01/07,127.0,127.5,124.5,126.0,23570.0
2021/01/10,127.5,128.0,123.5,124.5,18678.0
2021/01/11,125.0,127.0,123.5,123.5,16040.0
2021/01/12,122.5,127.0,122.5,125.0,25095.0
2021/01/13,121.5,128.0,121.5,125.0,26253.0
2021/01/17,125.0,125.0,123.5,123.5,20853.0
2021/01/18,123.5,125.0,123.5,123.5,18435.0
2021/01/19,124.5,125.0,122.5,122.5,26348.0
2021/01/20,122.0,125.0,122.0,125.0,29909.0
2021/01/21,125.0,129.5,123.0,129.0,118302.0
2021/01/24,131.0,136.5,130.0,136.5,327084.0
2021/01/25,140.5,145.0,135.0,141.0,317708.0
2021/01/26,142.0,142.0,136.5,136.5,106317.0
2021/01/27,135.0,139.5,134.0,136.5,38962.0
2021/01/28,138.0,138.0,132.5,133.0,62448.0
2021/01/31,133.5,133.5,130.0,131.5,66239.0
2021/02/01,132.5,134.5,131.5,132.5,49517.0
2021/02/02,134.0,135.0,131.0,133.5,44598.0
2021/02/03,135.0,136.5,130.5,132.5,96047.0
2021/02/04,134.0,135.5,132.0,135.0,81866.0
2021/02/07,136.5,136.5,132.0,133.0,124521.0
2021/02/08,133.5,134.5,131.5,132.0,63775.0
2021/02/09,136.0,136.0,129.5,132.5,36711.0
2021/02/10,130.5,133.5,128.0,131.5,56308.0
2021/02/11,130.5,132.5,130.0,131.0,47230.0
