Date,Open,High,Low,Close,Volume
2012-03-18,104.15,103.73,103.3,103.3,790.0
2012-07-16,103.3,103.3,102.88,102.88,34.0
2012-11-04,102.88,102.88,102.45,102.45,101.0
2013-07-30,102.45,102.03,100.42,100.42,50.0
2013-07-31,100.42,100.08,98.38,98.38,80.0
2013-08-01,98.38,98.04,97.36,97.36,30.0
2013-08-08,97.36,97.02,97.02,97.02,50.0
2013-08-11,97.02,96.68,96.68,96.68,10.0
2013-08-12,96.68,96.43,95.92,95.92,30.0
2013-08-14,95.92,95.66,95.15,95.15,30.0
2013-08-15,95.15,94.9,94.39,94.39,150.0
2013-08-18,94.39,94.64,93.46,93.46,838.0
2013-08-19,93.46,94.39,92.18,94.39,3482.0
2013-08-20,94.39,95.07,93.96,94.39,7395.0
2013-08-25,94.39,95.83,94.39,95.83,11610.0
2013-08-26,95.83,97.36,96.09,97.36,6344.0
2013-08-27,97.36,99.06,97.02,97.02,10745.0
2013-08-29,97.02,96.77,95.66,95.66,2720.0
2013-09-01,95.66,95.49,94.13,94.39,7793.0
2013-09-02,94.39,94.9,94.64,94.64,350.0
2013-09-03,94.64,94.9,94.13,94.39,1883.0
2013-09-04,94.39,94.64,94.13,94.64,1434.0
2013-09-05,94.64,94.9,94.39,94.39,2136.0
2013-09-08,94.39,94.13,94.13,94.13,364.0
2013-09-09,94.13,93.88,93.88,93.88,34.0
2013-09-10,93.88,93.88,93.63,93.88,1500.0
2013-09-11,93.88,93.8,93.63,93.8,908.0
2013-09-12,93.8,93.54,93.54,93.54,824.0
2013-09-15,93.54,93.54,93.54,93.54,940.0
2013-09-16,93.54,93.71,93.54,93.71,650.0
2013-09-17,93.71,93.71,93.54,93.54,845.0
2013-09-19,93.54,94.56,93.8,94.56,796.0
2013-09-22,94.56,94.3,93.63,93.63,1269.0
2013-09-23,93.63,93.54,93.37,93.54,1460.0
2013-09-25,93.54,93.29,92.18,92.18,1108.0
2013-09-26,92.18,92.01,92.01,92.01,20.0
2013-09-29,92.01,91.84,91.42,91.42,622.0
2013-09-30,91.42,91.25,91.25,91.25,500.0
2013-10-01,91.25,91.42,91.08,91.42,968.0
2013-10-03,91.42,91.59,91.59,91.59,101.0
2013-11-11,91.59,91.5,91.5,91.5,100.0
2013-11-13,91.5,91.84,91.67,91.84,1500.0
2013-11-14,91.84,92.01,91.84,92.01,2537.0
2013-11-24,92.01,92.35,92.18,92.35,78.0
2013-11-26,92.35,92.52,92.52,92.52,20.0
2013-11-27,92.52,93.71,93.12,93.71,190.0
2013-11-28,93.71,95.07,93.96,95.07,1040.0
2013-12-01,95.07,96.51,95.32,96.51,2152.0
2013-12-02,96.51,98.12,96.77,98.12,94.0
2013-12-03,98.12,99.91,98.46,99.91,71.0
2013-12-04,99.91,101.86,100.25,101.86,767.0
2013-12-05,101.86,103.98,102.28,103.98,12495.0
2013-12-08,103.98,105.93,104.32,104.58,13254.0
2013-12-09,104.58,104.58,102.88,102.88,1705.0
2013-12-10,102.88,102.45,101.18,101.18,646.0
2013-12-11,101.18,101.09,100.08,100.5,3745.0
2013-12-12,100.5,101.01,100.76,101.01,1433.0
2013-12-15,101.01,101.77,101.35,101.77,1034.0
2013-12-19,101.77,102.62,102.2,102.62,1138.0
2013-12-22,102.62,102.88,102.2,102.62,2244.0
2013-12-23,102.62,103.05,102.62,103.05,5014.0
2013-12-24,103.05,104.15,103.3,104.15,3875.0
2013-12-26,104.15,105.93,104.58,105.93,1177.0
2013-12-29,105.93,105.93,105.42,105.93,1287.0
2013-12-31,105.93,106.27,105.42,105.42,1612.0
2014-01-01,105.42,106.02,105.42,105.51,9080.0
2014-01-02,105.51,106.02,105.0,105.0,220.0
2014-01-05,105.0,105.42,105.42,105.42,440.0
2014-01-06,105.42,105.42,104.91,104.91,756.0
2014-01-07,104.91,105.34,104.15,104.15,2143.0
2014-01-08,104.15,105.42,104.15,105.42,1701.0
2014-01-12,105.42,105.76,105.76,105.76,494.0
2014-01-13,105.76,105.85,105.42,105.51,2513.0
2014-01-14,105.51,105.93,105.08,105.93,808.0
2014-01-16,105.93,106.44,105.51,105.51,1817.0
2014-01-19,105.51,107.46,105.42,107.46,1645.0
2014-01-20,107.46,109.5,107.97,109.24,2414.0
2014-01-21,109.24,109.75,108.73,108.82,1663.0
2014-01-22,108.82,109.33,108.82,108.82,578.0
2014-01-23,108.82,108.82,108.31,108.82,1773.0
2014-01-26,108.82,109.75,108.82,108.82,3105.0
2014-01-27,108.82,109.33,108.82,109.24,2128.0
2014-01-28,109.24,110.69,109.75,110.52,3354.0
2014-01-29,110.52,113.06,110.52,112.64,5832.0
2014-02-02,112.64,112.64,111.45,111.45,1472.0
2014-02-03,111.45,113.06,110.86,113.06,5431.0
2014-02-04,113.06,114.59,113.49,114.51,8165.0
2014-02-05,114.51,114.76,114.08,114.08,2568.0
2014-02-06,114.08,114.68,113.91,113.91,2252.0
2014-02-09,113.91,114.76,114.17,114.25,3188.0
2014-02-10,114.25,113.91,113.91,113.91,1000.0
2014-02-11,113.91,115.95,113.23,115.95,3750.0
2014-02-12,115.95,115.61,114.93,114.93,818.0
2014-02-13,114.93,116.88,114.93,116.88,3788.0
2014-02-16,116.88,120.53,117.31,120.53,1990.0
2014-02-17,120.53,124.52,121.3,124.52,9966.0
2014-02-18,124.52,128.94,125.37,128.94,6297.0
2014-02-20,128.94,133.77,129.87,133.77,7233.0
2014-02-23,133.77,139.12,134.79,138.7,13194.0
2014-02-24,138.7,143.03,135.98,135.98,5221.0
2014-02-25,135.98,134.88,130.89,130.97,3480.0
2014-02-26,130.97,131.91,130.04,130.04,702.0
2014-03-03,130.04,131.06,129.96,129.96,1441.0
2014-03-04,129.96,129.62,127.49,129.45,3217.0
2014-03-05,129.45,133.1,129.19,132.08,7288.0
2014-03-06,132.08,131.23,130.89,131.23,336.0
2014-03-09,131.23,131.74,130.46,130.46,501.0
2014-03-10,130.46,129.53,129.53,129.53,72.0
2014-03-11,129.53,129.62,127.75,128.34,736.0
2014-03-12,128.34,128.34,128.34,128.34,48.0
2014-03-13,128.34,131.31,128.34,131.31,776.0
2014-03-19,131.31,131.74,131.74,131.74,34.0
2014-03-20,131.74,132.76,132.76,132.76,10.0
2014-03-23,132.76,131.74,130.89,130.89,54.0
2014-03-24,130.89,130.8,129.87,129.87,54.0
2014-03-25,129.87,130.89,130.04,130.04,834.0
2014-03-31,130.04,129.62,129.62,129.62,24.0
2014-04-01,129.62,131.48,130.55,131.48,510.0
2014-04-02,131.48,131.31,129.45,129.45,1349.0
2014-04-03,129.45,130.89,130.04,130.46,809.0
2014-04-06,130.46,131.31,130.89,131.31,388.0
2014-04-07,131.31,130.29,128.6,128.6,75.0
2014-04-09,128.6,130.72,128.85,130.72,149.0
2014-04-10,130.72,131.65,130.89,131.57,2310.0
2014-04-13,131.57,131.48,130.38,130.38,205.0
2014-04-15,130.38,129.45,128.77,128.77,291.0
2014-04-16,128.77,128.77,128.17,128.77,230.0
2014-04-20,129.96,130.89,130.89,130.89,101.0
2014-04-21,130.89,131.91,130.89,130.89,2013.0
2014-04-22,130.89,130.89,130.29,130.29,1790.0
2014-04-23,130.29,133.44,131.23,133.01,873.0
2014-04-27,133.01,137.68,133.44,137.68,4036.0
2014-04-28,137.68,143.45,138.1,141.41,8860.0
2014-04-29,141.41,143.79,140.23,141.84,1361.0
2014-04-30,141.84,144.13,141.92,142.86,996.0
2014-05-04,142.86,141.67,140.65,141.07,906.0
2014-05-05,141.07,145.4,141.07,141.07,2758.0
2014-05-06,141.07,141.07,139.46,139.46,1089.0
2014-05-07,139.46,139.38,138.27,139.38,816.0
2014-05-08,139.38,140.99,139.29,140.99,1382.0
2014-05-11,140.99,140.99,138.61,138.61,339.0
2014-05-12,138.61,139.8,139.38,139.8,254.0
2014-05-13,139.8,142.77,140.65,142.77,1639.0
2014-05-15,142.77,141.92,139.04,139.72,3366.0
2014-05-18,139.72,140.57,139.38,140.4,713.0
2014-05-19,140.4,140.65,139.46,139.46,534.0
2014-05-20,139.46,140.65,139.8,140.65,560.0
2014-05-21,140.65,140.23,139.38,140.06,2273.0
2014-05-22,140.06,143.45,139.8,143.45,10685.0
2014-05-25,143.45,145.32,143.2,144.05,5248.0
2014-05-26,144.05,145.74,143.28,145.06,7940.0
2014-05-27,145.06,144.89,144.05,144.05,2569.0
2014-05-28,144.05,146.17,144.47,145.74,8986.0
2014-06-01,145.74,152.28,147.02,152.28,25444.0
2014-06-02,152.28,157.88,153.72,153.81,13172.0
2014-06-03,153.81,155.25,152.36,155.25,1748.0
2014-06-04,155.25,153.81,153.81,153.81,248.0
2014-06-05,153.81,152.36,147.78,147.78,430.0
2014-06-08,147.78,149.9,147.87,149.9,1306.0
2014-06-09,149.9,151.26,150.41,150.84,1188.0
2014-06-10,150.84,152.28,150.84,152.28,1558.0
2014-06-11,152.28,154.23,152.96,153.38,2058.0
2014-06-12,153.38,154.23,153.38,153.38,1690.0
2014-06-15,153.38,154.83,152.11,153.38,558.0
2014-06-16,153.38,153.55,152.11,153.55,2836.0
2014-06-17,153.55,153.81,151.52,153.72,6815.0
2014-06-18,153.72,156.27,154.23,154.23,1894.0
2014-06-19,154.23,153.81,153.64,153.81,1681.0
2014-06-23,153.81,155.08,153.64,153.81,816.0
2014-06-24,153.81,153.38,152.19,152.53,2060.0
2014-06-25,152.53,153.81,152.96,153.38,1014.0
2014-06-26,153.38,152.11,152.11,152.11,24.0
2014-06-29,152.11,152.96,152.19,152.96,2366.0
2014-06-30,152.96,152.53,152.53,152.53,17.0
2014-07-01,152.53,157.12,152.53,157.12,1489.0
2014-07-02,157.12,158.05,154.66,154.66,6927.0
2014-07-03,154.66,157.63,156.01,156.78,6835.0
2014-07-06,156.78,160.6,157.63,158.98,5877.0
2014-07-07,158.98,163.57,158.9,163.57,356.0
2014-07-08,163.57,165.01,163.14,163.57,8544.0
2014-07-09,163.57,164.84,163.14,163.99,654.0
2014-07-10,163.99,163.14,162.38,162.38,975.0
2014-07-13,162.38,161.45,160.17,160.6,1624.0
2014-07-14,160.6,159.66,158.98,159.66,85.0
2014-07-15,159.66,158.48,156.95,157.29,1520.0
2014-07-16,157.29,158.82,158.39,158.48,2572.0
2014-07-17,158.48,164.42,157.63,164.42,1373.0
2014-07-20,164.42,163.99,162.3,163.99,2585.0
2014-07-21,163.99,164.76,163.99,164.76,316.0
2014-07-22,164.76,163.14,161.02,161.02,1795.0
2014-07-23,161.02,161.11,161.11,161.11,34.0
2014-07-24,161.11,160.6,160.43,160.6,890.0
2014-07-27,160.6,160.6,159.75,159.75,340.0
2014-07-28,159.75,159.75,158.48,158.48,94.0
2014-07-30,158.48,159.32,158.05,158.48,712.0
2014-07-31,158.48,159.32,157.29,159.32,459.0
2014-08-04,159.32,157.8,157.8,157.8,300.0
2014-08-05,157.8,157.37,156.78,156.78,405.0
2014-08-06,156.78,155.25,155.25,155.25,17.0
2014-08-07,155.25,153.81,151.26,152.62,638.0
2014-08-12,152.62,152.96,151.68,151.68,1656.0
2014-08-13,151.68,152.53,152.11,152.53,175.0
2014-08-14,152.53,151.09,151.09,151.09,34.0
2014-08-19,151.09,155.93,152.45,155.08,1869.0
2014-08-20,155.08,156.52,155.25,155.25,409.0
2014-08-21,155.25,153.81,152.53,153.81,840.0
2014-08-24,153.81,155.5,154.66,155.5,489.0
2014-08-25,155.5,154.66,154.06,154.06,208.0
2014-08-26,154.06,154.66,152.96,152.96,241.0
2014-08-27,152.96,154.66,154.4,154.66,584.0
2014-08-28,154.66,156.1,153.21,153.21,341.0
2014-08-31,153.21,152.96,152.11,152.11,1333.0
