Date,Open,High,Low,Close,Volume
2017-05-30,266.4,287.36,266.4,287.36,50.0
2017-05-31,287.36,315.31,292.6,315.31,178.0
2017-06-01,321.43,346.76,321.43,346.76,4061.0
2017-06-04,352.87,379.07,335.4,369.46,49071.0
2017-06-05,362.48,367.72,355.49,366.84,21293.0
2017-06-06,371.21,371.21,358.98,364.22,25537.0
2017-06-07,366.84,366.84,356.36,356.36,13821.0
2017-06-08,349.38,359.86,348.5,352.87,26653.0
2017-06-11,349.38,350.25,341.51,342.39,5763.0
2017-06-12,340.64,341.51,336.27,337.15,7224.0
2017-06-13,342.39,345.01,331.91,341.51,5391.0
2017-06-14,345.01,340.64,336.27,338.89,7302.0
2017-06-15,335.4,345.88,333.65,333.65,8263.0
2017-06-18,333.65,336.27,327.54,330.16,4470.0
2017-06-19,331.91,331.91,316.18,317.93,4189.0
2017-06-20,310.94,326.67,310.94,326.67,2483.0
2017-06-21,326.67,326.67,317.06,322.3,1679.0
2017-06-22,319.68,324.92,318.81,320.55,1763.0
2017-06-25,321.43,327.54,314.44,322.3,2346.0
2017-06-27,317.93,320.55,314.44,314.44,3500.0
2017-06-28,318.81,318.81,312.69,313.56,2711.0
2017-07-02,308.32,308.32,301.34,302.21,2447.0
2017-07-03,307.45,308.32,301.34,301.34,4070.0
2017-07-04,303.96,305.7,297.84,298.72,1804.0
2017-07-05,297.84,300.46,293.48,296.97,3798.0
2017-07-06,297.84,307.45,297.84,298.72,2097.0
2017-07-09,298.72,300.46,293.48,294.35,3039.0
2017-07-10,289.11,295.22,289.11,289.11,5720.0
2017-07-11,289.98,300.46,288.23,296.1,5026.0
2017-07-12,296.97,309.2,291.73,307.45,4177.0
2017-07-13,302.21,303.08,297.84,297.84,3008.0
2017-07-16,297.84,297.84,292.6,293.48,1372.0
2017-07-17,290.86,301.34,290.86,296.97,1888.0
2017-07-18,298.72,303.96,294.35,301.34,1647.0
2017-07-19,296.97,317.06,296.97,302.21,2661.0
2017-07-20,300.46,300.46,290.86,296.97,5354.0
2017-07-23,291.73,296.97,291.73,293.48,2588.0
2017-07-24,296.97,296.97,291.73,294.35,1995.0
2017-07-25,296.97,296.97,292.6,294.35,1489.0
2017-07-26,296.97,301.34,296.97,301.34,6312.0
2017-07-27,296.1,305.7,288.23,300.46,2004.0
2017-07-30,296.97,300.46,292.6,294.35,2321.0
2017-07-31,292.6,296.97,289.98,292.6,5884.0
2017-08-01,296.97,314.44,296.1,314.44,5146.0
2017-08-02,308.32,308.32,292.6,297.84,3739.0
2017-08-03,297.84,304.83,294.35,304.83,1889.0
