Date,Open,High,Low,Close,Volume
2015/11/09,113.75,113.75,113.75,113.75,10.0
2015/11/10,115.94,125.05,115.94,125.05,168.0
2015/11/29,127.24,137.08,127.24,137.08,50.0
2015/11/30,139.64,139.64,139.64,139.64,10.0
2015/12/01,139.64,147.29,142.19,147.29,30.0
2015/12/02,150.21,153.13,150.21,153.13,20.0
2015/12/03,156.04,158.96,156.04,158.96,28.0
2015/12/07,161.88,174.64,161.88,174.64,76.0
2015/12/08,183.02,191.77,183.02,191.77,319.0
2015/12/09,195.42,210.73,195.42,210.73,130.0
2015/12/10,214.74,231.51,214.74,231.51,92.0
2015/12/13,235.89,254.48,235.89,254.48,50.0
2015/12/14,259.22,279.64,259.22,279.64,85.0
2015/12/15,285.1,307.34,285.1,307.34,648.0
2015/12/16,313.18,337.97,313.18,337.97,4082.0
2015/12/17,344.53,371.51,344.53,371.51,11089.0
2015/12/20,371.51,380.63,352.55,357.29,16297.0
2015/12/21,357.29,359.12,328.13,346.72,7937.0
2015/12/22,347.45,371.88,347.45,371.88,6941.0
2015/12/23,371.88,391.93,364.58,382.81,9042.0
2015/12/24,380.99,421.09,375.16,421.09,7798.0
2015/12/25,419.27,429.48,404.69,423.28,8188.0
2015/12/28,423.28,428.39,415.99,420.37,7129.0
2015/12/29,420.37,426.56,403.96,426.56,7982.0
2015/12/31,419.27,438.59,395.21,437.5,5459.0
2016/01/03,437.14,446.62,430.21,446.62,6898.0
2016/01/04,446.62,450.26,427.29,435.68,3188.0
2016/01/05,437.5,437.5,426.56,431.67,4100.0
2016/01/06,433.85,433.85,402.87,414.17,3875.0
2016/01/07,408.33,421.09,408.33,414.17,1902.0
2016/01/10,414.17,428.39,411.98,428.39,6088.0
2016/01/11,420.0,428.39,411.98,423.28,5645.0
2016/01/12,415.63,440.42,401.04,437.87,7670.0
2016/01/13,437.87,455.73,435.68,447.71,10301.0
2016/01/14,442.97,464.84,437.5,455.37,7928.0
2016/01/31,464.12,500.57,464.12,500.57,100.0
2016/02/01,500.57,548.7,510.42,547.97,1240.0
2016/02/02,546.88,546.88,537.76,537.76,753.0
2016/02/03,537.76,539.22,528.65,535.94,332.0
2016/02/04,525.73,525.73,515.89,525.0,810.0
2016/02/07,525.0,535.21,514.79,514.79,550.0
